#{"t_start": 1748053850.8665836, "env_id": "None"}
r,l,t
277.27158,1000,2249.761163
340.67633,1000,2253.702485
463.6748,1000,2256.097793
180.87056,1000,2260.732713
360.2942,1000,2260.816288
-4.62334,1,2260.843668
410.95563,1000,2264.599055
54.410248,160,2265.195845
-4.603169,1,2265.221573
255.26823,1000,2270.459807
362.53384,1000,2276.893206
121.068596,1000,2277.470993
-4.6032596,1,2277.49759
51.781734,143,2280.793679
-3.456614,6,2280.960757
-4.61357,1,2280.982272
588.12225,1000,2281.273672
443.09787,1000,2283.62414
380.84906,1000,2288.332919
809.8982,1000,2291.967752
-4.6251483,1,2291.996672
327.74393,1000,2292.651074
111.05469,269,2295.770164
373.1247,1000,2297.927071
52.34692,224,2303.916145
393.6779,1000,2304.869519
462.63718,1000,2308.572606
377.96753,1000,2308.847704
375.99753,1000,2311.249888
0.34624666,1,2311.278302
84.98123,185,2313.926758
477.94815,1000,2319.947297
0.8539407,3,2320.033778
452.3297,1000,2320.602535
6.205753,84,2322.421827
421.31693,1000,2323.773146
588.6255,1000,2332.529664
-4.605368,1,2332.557131
-4.6239023,1,2332.586293
319.13196,1000,2333.465389
219.81635,1000,2337.588607
94.243515,233,2339.4314
297.52686,1000,2340.03026
270.88242,1000,2342.650424
658.88184,1000,2349.441375
407.21024,1000,2351.298226
399.11783,1000,2352.621713
340.53412,1000,2362.643999
337.2447,1000,2366.795506
248.39908,1000,2368.530547
304.92987,1000,2369.104409
273.3056,1000,2371.702129
29.739202,122,2375.196465
-4.6751056,1,2375.224841
26.47783,100,2378.120869
307.7391,1000,2378.486871
192.56659,1000,2380.270376
616.2029,1000,2381.645638
325.77347,1000,2391.452797
261.6186,1000,2395.396039
238.72336,1000,2397.219548
-4.621555,1,2397.249757
311.9501,1000,2397.810172
23.196335,86,2397.895621
246.45705,1000,2406.638961
288.81787,1000,2406.992707
233.43605,1000,2408.71695
257.6985,1000,2410.049553
396.70175,1000,2419.897107
295.61774,1000,2425.799346
391.99924,1000,2426.37791
253.20064,1000,2426.465603
-4.607215,1,2426.493483
52.136375,179,2431.700954
241.60641,1000,2435.593867
271.75732,1000,2435.985167
332.27637,1000,2437.889393
227.76065,1000,2439.321764
24.852215,131,2439.900667
246.7332,1000,2449.291768
302.2768,1000,2455.164707
358.9555,1000,2455.719302
257.19504,1000,2460.733007
264.7597,1000,2464.26511
259.48813,1000,2466.360585
212.8211,1000,2467.719531
217.21065,1000,2468.257395
146.26334,1000,2477.265936
360.15872,1000,2483.181013
246.02759,1000,2483.721688
319.0479,1000,2488.923221
0.36983755,1,2488.950694
384.8365,1000,2492.76962
217.28514,1000,2494.944627
327.14288,1000,2496.260215
